Lockheed Martin Corporation	4.12%
CME Group Inc. Class A	3.50%
McDonald's Corporation	2.44%
NextEra Energy, Inc.	2.32%
Caterpillar Inc.	2.28%
Chevron Corporation	2.27%
Philip Morris International Inc.	1.93%
Entergy Corporation	1.92%
DTE Energy Company	1.83%
Valero Energy Corporation	1.75%
Sempra Energy	1.72%
Kimberly-Clark Corporation	1.67%
Occidental Petroleum Corporation	1.63%
Dominion Energy Inc	1.62%
Lazard Ltd Class A	1.54%
Packaging Corporation of America	1.53%
Pinnacle West Capital Corporation	1.42%
Tupperware Brands Corporation	1.36%
American Electric Power Company, Inc.	1.34%
Kohl's Corporation	1.31%
L Brands, Inc.	1.31%
Genuine Parts Company	1.30%
Target Corporation	1.29%
IDACORP, Inc.	1.27%
Eaton Corp. Plc	1.25%
Darden Restaurants, Inc.	1.24%
WEC Energy Group Inc	1.18%
Helmerich & Payne, Inc.	1.18%
Garmin Ltd.	1.17%
ONEOK, Inc.	1.15%
Meredith Corporation	1.12%
NorthWestern Corporation	1.12%
Altria Group, Inc.	1.11%
Mercury General Corporation	1.09%
HollyFrontier Corporation	1.08%
Eversource Energy	1.04%
Eli Lilly and Company	1.04%
Emerson Electric Co.	1.02%
Seagate Technology PLC	1.02%
Domtar Corporation	1.01%
International Paper Company	0.99%
Public Service Enterprise Group Inc	0.98%
Cincinnati Financial Corporation	0.98%
Edison International	0.97%
Waste Management, Inc.	0.96%
WestRock Co.	0.96%
Bank of Hawaii Corporation	0.96%
Nu Skin Enterprises, Inc. Class A	0.92%
Waddell & Reed Financial, Inc. Class A	0.92%
Avista Corporation	0.92%
Arthur J. Gallagher & Co.	0.87%
General Mills, Inc.	0.86%
PacWest Bancorp	0.84%
AT&T Inc.	0.83%
Xcel Energy Inc.	0.83%
Black Hills Corporation	0.80%
PACCAR Inc	0.80%
PG&E Corporation	0.78%
Merck & Co., Inc.	0.77%
Coca-Cola Company	0.77%
CF Industries Holdings, Inc.	0.77%
Sysco Corporation	0.75%
Exelon Corporation	0.74%
FirstEnergy Corp.	0.74%
SCANA Corporation	0.73%
CenturyLink, Inc.	0.73%
CMS Energy Corporation	0.73%
PPL Corporation	0.73%
Sonoco Products Company	0.72%
Alliant Energy Corp	0.71%
Pfizer Inc.	0.66%
Great Plains Energy Incorporated	0.64%
Leggett & Platt, Incorporated	0.62%
Intel Corporation	0.61%
Federated Investors, Inc. Class B	0.60%
BB&T Corporation	0.60%
Macy's Inc	0.59%
ConocoPhillips	0.57%
OGE Energy Corp.	0.56%
New Jersey Resources Corporation	0.55%
CenterPoint Energy, Inc.	0.54%
United Bankshares, Inc.	0.50%
H&R Block, Inc.	0.49%
Cinemark Holdings, Inc.	0.48%
Trustmark Corporation	0.44%
Olin Corporation	0.42%
NiSource Inc	0.40%
Old Republic International Corporation	0.37%
Huntsman Corporation	0.34%
People's United Financial, Inc.	0.32%
New York Community Bancorp, Inc.	0.30%
Pitney Bowes Inc.	0.30%
Ford Motor Company	0.29%
General Electric Company	0.27%
Commercial Metals Company	0.25%
F.N.B. Corporation	0.20%
Valley National Bancorp	0.20%
MUTUAL FUND (OTHER)	0.18%
R.R. Donnelley & Sons Company	0.16%
U.S. Dollar	0.01%