12/21/2015	Cash	0.599	12/17/2015	12/23/2015	12/28/2015
9/23/2015	Cash	0.528	9/21/2015	9/25/2015	9/29/2015
6/26/2015	Cash	0.56	6/24/2015	6/30/2015	7/2/2015
3/23/2015	Cash	0.462	3/19/2015	3/25/2015	3/27/2015
12/18/2014	Cash	0.562	12/16/2014	12/22/2014	12/24/2014
9/22/2014	Cash	0.469	9/18/2014	9/24/2014	9/26/2014
6/23/2014	Cash	0.476	6/19/2014	6/25/2014	6/27/2014
3/24/2014	Cash	0.401	3/20/2014	3/26/2014	3/28/2014
12/20/2013	Cash	0.532	12/19/2013	12/24/2013	12/27/2013
9/23/2013	Cash	0.437	9/20/2013	9/25/2013	9/27/2013
6/24/2013	Cash	0.419	6/21/2013	6/26/2013	6/28/2013
3/22/2013	Cash	0.361	3/21/2013	3/26/2013	3/28/2013
12/20/2012	Cash	0.492	12/18/2012	12/24/2012	12/27/2012
9/24/2012	Cash	0.403	--	9/26/2012	9/28/2012
6/25/2012	Cash	0.37	--	6/27/2012	6/29/2012
3/26/2012	Cash	0.328	--	3/28/2012	3/30/2012
12/21/2011	Cash	0.375	--	--	--
9/23/2011	Cash	0.307	--	--	--
6/24/2011	Cash	0.335	--	--	--
3/25/2011	Cash	0.31	--	--	--
9/24/2010	Cash	0.276	--	--	--
6/24/2010	Cash	0.273	--	--	--
3/25/2010	Cash	0.229	--	--	--
6/24/2008	Cash	0.371	--	--	--
3/25/2008	Cash	0.371	--	3/27/2008	3/31/2008
12/14/2007	Cash	0.447	--	--	--
9/24/2007	Cash	0.346	--	9/26/2007	9/28/2007
6/25/2007	Cash	0.296	--	6/27/2007	6/29/2007
3/26/2007	Cash	0.536	--	--	--
12/22/2006	Cash	0.175	--	12/27/2006	12/29/2006